FunctionArn,Timestamp,RequestID,LogStream,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:09:01.393,a5973246-671f-584a-b450-65abd54a5c1d,2020/09/29/[$LATEST]f6f3f19256824ed0b608bb1c2f55d7f5,88717.38,88800,1024,339
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:08:36.656,7e64abd9-29fe-5d87-b019-fc349bbf8f35,2020/09/29/[$LATEST]ee8b065dad5b442ebb82ed3c689ecdab,91651.21,91700,1024,281
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:08:35.230,ed48a706-6b60-5ae8-ac28-f0ebd95da5de,2020/09/29/[$LATEST]0dd1747b712d4b27a37e182ab061e392,91939.19,92000,1024,285
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:08:34.013,3547ad93-82a0-54f9-8a7c-fa7e30e1fb57,2020/09/29/[$LATEST]6c2000c3edba487788f514cd2139f4a8,89013.89,89100,1024,283
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:08:31.967,e8452fcc-6647-5674-8be4-7821d47ac022,2020/09/29/[$LATEST]fa26e77706934d0d8a002e27190a7ed7,89297.84,89300,1024,329
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:08:05.400,9acdad57-2068-599c-be8e-faba924d12cc,2020/09/29/[$LATEST]f0d5e7fc349b474a82e21f1759fe9b62,91834.33,91900,1024,282
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:08:04.754,e56b5689-7135-5137-8aa0-0164c31dbf1f,2020/09/29/[$LATEST]13447d327430402fa11a7a1f0bed525e,91212.22,91300,1024,286
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:08:04.257,13f9fafd-f73b-5852-94b7-ad10451d5e04,2020/09/29/[$LATEST]7bb9a6eb11b74191b89287e4da6058dd,90863.11,90900,1024,288
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:08:03.765,40f743b9-4198-550f-877e-1454f3875b27,2020/09/29/[$LATEST]1d1c1f6cccbc476a878de9b2ef287ede,90538.68,90600,1024,284
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:08:03.659,abd3092a-7287-5e94-ac54-5ec7c0a57e8d,2020/09/29/[$LATEST]777d7015f5784c94abf1bd2ffaa84ca3,90268.97,90300,1024,271
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:07:35.279,cfee8532-9afc-5142-b8f5-d2df28fe1f6a,2020/09/29/[$LATEST]8bb7710f9b6d43b3ab77e732d3ceac25,91780.41,91800,1024,276
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:07:33.833,031559fd-5af9-5294-95e1-0e10e8f13e0d,2020/09/29/[$LATEST]e223b67678714bf3b4fd49f724c8eec5,90515.54,90600,1024,286
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:07:33.437,588f435d-eefb-5434-b330-14b05cff042d,2020/09/29/[$LATEST]e78a8157be9f444da372e420be2a6c37,89875.67,89900,1024,275
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:07:32.465,0eab58fa-e123-5d63-abbe-0f17532b4b35,2020/09/29/[$LATEST]086f50509245498d99785bef1acc0aec,88897.21,88900,1024,297
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:07:32.075,f3dd6311-56c9-5301-9bef-34fce4c0c851,2020/09/29/[$LATEST]f6f3f19256824ed0b608bb1c2f55d7f5,88649.1,88700,1024,296
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:07:05.263,fa22d2bb-38c5-54c2-9616-8556891c8f92,2020/09/29/[$LATEST]f96b0fb755b940718f103f2c9672a7cb,91653.38,91700,1024,277
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:07:05.095,321aa642-76fa-53f5-8d12-f1afc71dcf6c,2020/09/29/[$LATEST]337ea21faab94375ac4e61bfae4b0fd8,91718.88,91800,1024,277
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:07:04.665,0c3ae95e-9a29-5235-b221-beb32bf5e22c,2020/09/29/[$LATEST]9466153b89304b88a8365675a24f2637,91143.39,91200,1024,290
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:07:04.624,5bac568a-633c-5979-93d7-0167d2dc1f2f,2020/09/29/[$LATEST]b7aa716bafb6496388b2869572b4d71a,91182.62,91200,1024,297
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 22:07:02.529,24a032c4-dffd-5439-8c73-65296e21ea11,2020/09/29/[$LATEST]fa26e77706934d0d8a002e27190a7ed7,89112.73,89200,1024,283
646012695651:/aws/lambda/gsd-index-calculator-dev-preprocess-with-redis,2020-09-29 22:05:32.732,91cb3e92-1291-44fe-abaf-be7812e29ae7,2020/09/29/[$LATEST]b681b157a2074e6490ab87ccc2599670,6047.92,6100,1024,492
646012695651:/aws/lambda/gsd-index-calculator-dev-preprocess-with-redis,2020-09-29 22:05:32.651,45615d39-701b-4e8a-93f3-50891d6de209,2020/09/29/[$LATEST]88fd05d971c24140a30b3757a653364b,5970.46,6000,1024,490
646012695651:/aws/lambda/gsd-index-calculator-dev-preprocess-with-redis,2020-09-29 22:05:32.637,a462b906-e73a-469e-a253-491b2620d668,2020/09/29/[$LATEST]fc39a607448a4e5299971b83466f2f99,6020,6100,1024,487
646012695651:/aws/lambda/gsd-index-calculator-dev-preprocess-with-redis,2020-09-29 22:05:32.584,8f9b8801-1fcc-41bf-a5a2-fde8e22445cb,2020/09/29/[$LATEST]7c628687672b4b66b88c29f3f05538fb,5939.79,6000,1024,489
646012695651:/aws/lambda/gsd-index-calculator-dev-preprocess-with-redis,2020-09-29 22:05:32.436,72cf3ad0-a4b5-46ff-8c38-1326d001a8d2,2020/09/29/[$LATEST]869ffb06d7ee41c88c8afe9a248d693b,5812.17,5900,1024,494
646012695651:/aws/lambda/gsd-index-calculator-dev-start-job-with-redis,2020-09-29 22:05:25.705,c55d0f0d-eb7f-4476-83f7-936374001576,2020/09/29/[$LATEST]0d30b51ce5024b8cad2f0d7cfa818e92,185.06,200,1024,98
