arn, redisTsValue, currentSystemTs, passedTime
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#1816aebe-f866-4f53-9d7c-5b7218bba052, 1601246330061, 1601246330118, 57
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#eabbdcb6-0963-47b0-bb17-d27083a271bd, 1601246632501, 1601246632651, 150
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#eabbdcb6-0963-47b0-bb17-d27083a271bd, 1601246642514, 1601246642578, 64
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#eabbdcb6-0963-47b0-bb17-d27083a271bd, 1601246643512, 1601246643548, 36
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#eabbdcb6-0963-47b0-bb17-d27083a271bd, 1601246643512, 1601246643587, 75
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#eabbdcb6-0963-47b0-bb17-d27083a271bd, 1601246643699, 1601246643745, 46
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#eabbdcb6-0963-47b0-bb17-d27083a271bd, 1601246643889, 1601246643942, 53
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#eabbdcb6-0963-47b0-bb17-d27083a271bd, 1601246653668, 1601246653728, 60
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#eabbdcb6-0963-47b0-bb17-d27083a271bd, 1601246654046, 1601246654094, 48
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#eabbdcb6-0963-47b0-bb17-d27083a271bd, 1601246654206, 1601246654255, 49
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#eabbdcb6-0963-47b0-bb17-d27083a271bd, 1601246654357, 1601246654411, 54
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#eabbdcb6-0963-47b0-bb17-d27083a271bd, 1601246655033, 1601246655088, 55
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#2c0970c0-ce2f-4990-9c66-90f7bb13e55d, 1601246725458, 1601246725567, 109
