arn, redisTsValue, currentSystemTs, passedTime, parallelLambdas
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::62ba6214-538c-425f-8274-f21a8e57812f, 1601581133113, 1601581136648, 3535, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::c2ef6702-815e-4b50-b4b5-db05ca54e40b, 1601581133119, 1601581136648, 3529, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::bf222366-ffeb-4d70-ab91-84af612fdbf0, 1601581133121, 1601581136648, 3527, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::7955a14e-53f0-4b4f-8dbb-acddb6234c6d, 1601581133129, 1601581136648, 3519, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::4469f291-c016-41a1-8052-2ed9fd572746, 1601581133147, 1601581136648, 3501, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::f137682f-01a7-46ae-9b4a-57e694322280, 1601581133164, 1601581136648, 3484, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::75c8d9cb-306e-4315-a339-9a8a69a377a2, 1601581133170, 1601581136648, 3478, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::8ce0dfad-417d-48f0-a6df-4fd4cd6bad93, 1601581133172, 1601581136648, 3476, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::732bff09-4d32-4937-966e-1c151cf0fdf2, 1601581133179, 1601581136648, 3469, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::7043eebc-7e91-472c-88f0-cf81a784468f, 1601581133212, 1601581136648, 3436, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::0445b3aa-75b9-4370-97b7-c190035c88db, 1601581133227, 1601581136648, 3421, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::e6c6f55b-fd93-4435-b508-8d1d5612bc27, 1601581133239, 1601581136648, 3409, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::55b05ab2-1d5c-4e7f-9e76-96b721fbd677, 1601581133808, 1601581136648, 2840, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::26d39269-3af8-42ea-927e-dab5ee130e30, 1601581133253, 1601581136648, 3395, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::821bff13-4654-47a6-8173-b60242a56bd6, 1601581133074, 1601581136647, 3573, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::5904dd0e-2c1f-450b-b458-013db51d0904, 1601581133096, 1601581136647, 3551, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::11db16b8-0a5f-5d0a-90f7-414838d7b31b, 1601581146037, 1601581146089, 52, 40
