arn, redisTsValue, currentSystemTs, passedTime, parallelLambdas
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075099, 1601577075124, 25, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075099, 1601577075124, 25, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075171, 1601577075562, 391, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075171, 1601577075569, 398, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075189, 1601577075569, 380, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075190, 1601577075570, 380, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075190, 1601577075570, 380, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075190, 1601577075570, 380, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075205, 1601577075570, 365, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075205, 1601577075570, 365, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075205, 1601577075570, 365, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075205, 1601577075570, 365, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075205, 1601577075570, 365, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075205, 1601577075570, 365, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075225, 1601577075570, 345, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075225, 1601577075570, 345, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075225, 1601577075570, 345, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075225, 1601577075570, 345, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075570, 157, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075413, 1601577075571, 158, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075571, 1601577076519, 948, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075571, 1601577076520, 949, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075571, 1601577076523, 952, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075571, 1601577076523, 952, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075571, 1601577076523, 952, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075571, 1601577076523, 952, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577085887, 1601577085901, 14, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577085887, 1601577085904, 17, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577086021, 1601577086039, 18, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577086021, 1601577086040, 19, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577086136, 1601577086155, 19, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577086136, 1601577086157, 21, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577086292, 1601577086310, 18, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577086292, 1601577086312, 20, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577086385, 1601577086409, 24, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577086385, 1601577086410, 25, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577088647, 1601577088667, 20, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577088647, 1601577088668, 21, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577089155, 1601577089175, 20, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577089155, 1601577089177, 22, 40
